stage,overlap_cases,divergent_cases,divergent_targets,max_abs_estimate_delta,historical_within_5,reconstructed_within_5,delta_within_5,historical_mae3,reconstructed_mae3,delta_mae3,historical_failures_gt5,reconstructed_failures_gt5,reconstructed_vs_historical_reg_target_gt5,reconstructed_vs_historical_reg_img_gt1,reconstructed_vs_historical_reg_img_gt3,historical_path,reconstructed_stage,notes
BASE186,1000,990,2128,82.3764,80.9,63.0,-17.9,3.7169,4.9618,1.2449,191,370,244,353,136,C:\Users\danib\OneDrive\Ambiente de Trabalho\LPEI\Datasets\Spinal-AI2024-main\Spinal-AI2024-main\processed_padding_512\cobb_results\baseline_2000\multicobb\active\validar_f1_f2_shortlist_smoothing_checkpoint185_v1\selector186_best_target_rows.csv,BASE_DIRECT,Base historica checkpoint186/selector186 vs base direta derivada dos candidatos regenerados.
MT190,1000,983,1996,82.3764,81.7,67.1,-14.6,3.6893,4.8406,1.1513,183,329,252,325,128,C:\Users\danib\OneDrive\Ambiente de Trabalho\LPEI\Datasets\Spinal-AI2024-main\Spinal-AI2024-main\processed_padding_512\cobb_results\baseline_2000\multicobb\active\checkpoint191_checkpoint186_mt190_v1\checkpoint191_target_rows.csv,MT190,Promocao 191 apos MT190.
PT193,1000,983,1999,82.3764,82.1,67.6,-14.5,3.6699,4.8131,1.1432,179,324,251,322,126,C:\Users\danib\OneDrive\Ambiente de Trabalho\LPEI\Datasets\Spinal-AI2024-main\Spinal-AI2024-main\processed_padding_512\cobb_results\baseline_2000\multicobb\active\checkpoint194_checkpoint191_pt193_v1\checkpoint194_target_rows.csv,PT193,Promocao 194 apos PT193.
TLL197,1000,983,1997,82.3764,82.3,68.2,-14.1,3.656,4.786,1.13,177,318,248,319,126,C:\Users\danib\OneDrive\Ambiente de Trabalho\LPEI\Datasets\Spinal-AI2024-main\Spinal-AI2024-main\processed_padding_512\cobb_results\baseline_2000\multicobb\active\checkpoint198_checkpoint194_tll197_v1\checkpoint198_target_rows.csv,TLL197,Promocao 198 apos TL/L 196/197.
PT200,1000,982,1996,82.3764,82.4,68.2,-14.2,3.6261,4.786,1.1599,176,318,254,328,128,C:\Users\danib\OneDrive\Ambiente de Trabalho\LPEI\Datasets\Spinal-AI2024-main\Spinal-AI2024-main\processed_padding_512\cobb_results\baseline_2000\multicobb\active\checkpoint201_checkpoint198_pt200_v1\checkpoint201_target_rows.csv,PT200,Promocao 201 apos PT200.
SF204,1000,981,1994,83.1184,82.4,68.2,-14.2,3.6247,4.8219,1.1972,176,318,255,328,128,C:\Users\danib\OneDrive\Ambiente de Trabalho\LPEI\Datasets\Spinal-AI2024-main\Spinal-AI2024-main\processed_padding_512\cobb_results\baseline_2000\multicobb\active\checkpoint205_checkpoint201_sf204_v1\checkpoint205_target_rows.csv,SF204,Promocao 205 apos severe-first 204.
