source,group,raw_id_count,max_cobb_smape_article,pt_smape_article,mt_smape_article,tll_smape_article,agg3_smape_article,max_cobb_smape_old,pt_smape_old,mt_smape_old,tll_smape_old,agg3_smape_old,mae3,rmse3,within_5,within_10,within_15,failures_gt5,severe_gt8,case_count,regressions_target_gt5,regressions_image_gt1,regressions_image_gt3
checkpoint205_historico,checkpoint205_overlap_1000,1000,8.062,24.5901,8.6292,12.427,12.8357,16.1241,49.1803,17.2583,24.8541,25.6714,3.6247,4.7629,82.4,99.2,99.8,176,24,1000,0,0,0
train2000_248,checkpoint205_overlap_1000,1000,8.2975,30.6639,9.8368,18.074,16.513,16.5949,61.3277,19.6737,36.148,33.026,4.8219,7.3832,68.2,93.1,97.0,318,104,1000,255,328,128
train2000_248,remaining_2192,2192,8.4339,31.1834,9.8425,17.8997,16.5176,16.8677,62.3668,19.685,35.7994,33.0353,4.6694,7.0626,70.0274,93.5675,97.6734,657,206,2192,0,0,0
train2000_248,all_3192,3192,8.3902,31.0149,9.8407,17.955,16.5162,16.7804,62.0298,19.6814,35.9099,33.0323,4.7172,7.1646,69.4549,93.4211,97.4624,975,310,3192,0,0,0
trainfull_248,checkpoint205_overlap_1000,1000,8.254,30.6244,9.945,18.1585,16.5917,16.508,61.2488,19.89,36.317,33.1834,4.8451,7.4417,67.4,92.9,96.7,326,96,1000,265,373,138
trainfull_248,remaining_2192,2192,8.6097,31.8568,9.8895,18.2391,16.7705,17.2193,63.7135,19.7789,36.4783,33.541,4.7288,7.1069,69.4799,93.4307,97.6277,669,214,2192,0,0,0
trainfull_248,all_3192,3192,8.4957,31.4553,9.9073,18.2135,16.7131,16.9914,62.9107,19.8147,36.427,33.4262,4.7653,7.2134,68.8283,93.2644,97.3371,995,310,3192,0,0,0
