source,centerline_subdir,centerline_count_seen,case_count_processed,expected_cases,covered_images,missing_images,candidate_count,min_candidates_per_image,mean_candidates_per_image,max_candidates_per_image,oracle_mt_le5_count,oracle_mt_le5_pct,oracle_mt_le10_count,oracle_mt_le10_pct,failure_count,valid_for_243,max_files
train2000,unet_baseline_2000_padding_512_centerline_val_all_3192,3192,3192,3192,3192,0,1144964,300,358.698,464,2633,82.4875,3112,97.4937,0,1,0
trainfull,unet_train_full_padding_512_centerline_val_all_3192,3192,3192,3192,3192,0,1146566,300,359.1999,464,2631,82.4248,3117,97.6504,0,1,0
