source,centerline_subdir,centerline_count_seen,case_count_processed,expected_cases,covered_images,missing_images,candidate_count,min_candidates_per_image,mean_candidates_per_image,max_candidates_per_image,oracle_tll_le5_count,oracle_tll_le5_pct,oracle_tll_le10_count,oracle_tll_le10_pct,failure_count,valid_for_243,max_files
train2000,unet_baseline_2000_padding_512_centerline_val_all_3192,3192,3192,3192,3192,0,3830400,1200,1200.0,1200,2282,71.4912,2668,83.584,0,1,0
trainfull,unet_train_full_padding_512_centerline_val_all_3192,3192,3192,3192,3192,0,3830400,1200,1200.0,1200,2293,71.8358,2663,83.4273,0,1,0
