source,stage,max_cobb_smape_article,pt_smape_article,mt_smape_article,tll_smape_article,agg3_smape_article,max_cobb_smape_old,pt_smape_old,mt_smape_old,tll_smape_old,agg3_smape_old,mae3,rmse3,within_5,within_10,within_15,failures_gt5,severe_gt8,case_count,regressions_target_gt5,regressions_image_gt1,regressions_image_gt3
train2000,final248,8.3902,31.0149,9.8407,17.955,16.5162,16.7804,62.0298,19.6814,35.9099,33.0323,4.7172,7.1646,69.4549,93.4211,97.4624,975,310,3192,48,126,3
trainfull,final248,8.4957,31.4553,9.9073,18.2135,16.7131,16.9914,62.9107,19.8147,36.427,33.4262,4.7653,7.2134,68.8283,93.2644,97.3371,995,310,3192,61,125,1
