source,centerline_subdir,severe_candidates_path,expected_cases,case_count_seen,pt_covered_images,tll_covered_images,pt_missing_images,tll_missing_images,pt_severe_candidate_count,tll_severe_candidate_count,pt_oracle_le5_count,pt_oracle_le5_pct,pt_oracle_le10_count,pt_oracle_le10_pct,tll_oracle_le5_count,tll_oracle_le5_pct,tll_oracle_le10_count,tll_oracle_le10_pct,pt_rows_read,tll_rows_read,valid_for_248,max_files
train2000,unet_baseline_2000_padding_512_centerline_val_all_3192,C:\Users\danib\OneDrive\Ambiente de Trabalho\LPEI\Datasets\Spinal-AI2024-main\Spinal-AI2024-main\processed_padding_512\cobb_results\comparacao_centerline_train2000_vs_trainfull_pipeline_refinada_final_v1\train2000\candidates_valid\severe_candidates.csv,3192,3192,2248,3175,944,17,1549122,3807930,1117,34.9937,1890,59.2105,2282,71.4912,2668,83.584,3830400,3830400,0,0
trainfull,unet_train_full_padding_512_centerline_val_all_3192,C:\Users\danib\OneDrive\Ambiente de Trabalho\LPEI\Datasets\Spinal-AI2024-main\Spinal-AI2024-main\processed_padding_512\cobb_results\comparacao_centerline_train2000_vs_trainfull_pipeline_refinada_final_v1\trainfull\candidates_valid\severe_candidates.csv,3192,3192,2256,3177,936,15,1557752,3810372,1126,35.2757,1892,59.2732,2293,71.8358,2663,83.4273,3830400,3830400,0,0
