file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,pt_source205,mt_source205,tll_source205,changed_targets205
1050_006147,006147,8.734,2.3849,1.2526,4.1238,1,checkpoint186,gate155_mt,checkpoint186,
1051_012202,012202,5.4791,3.4958,0.2806,3.0852,1,checkpoint186,checkpoint93,checkpoint186,
1052_003505,003505,1.695,5.4991,6.9576,4.7172,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1053_009208,009208,1.9056,9.3106,2.5706,4.5956,1,checkpoint186,gate155_mt,checkpoint186,
1054_015568,015568,8.6744,0.0044,2.4735,3.7174,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1055_002725,002725,0.0635,0.98,2.5039,1.1825,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1056_008471,008471,3.3455,1.0383,7.2908,3.8915,1,checkpoint186,gate155_mt,checkpoint186,
1057_013792,013792,0.3052,3.8114,2.0241,2.0469,1,checkpoint186,checkpoint93,checkpoint186,
1058_014257,014257,1.4054,4.1917,0.8181,2.1384,1,checkpoint186,checkpoint93,checkpoint186,
1059_008544,008544,0.1637,3.3238,5.3469,2.9448,1,checkpoint186,selector185_f4_MT,checkpoint186,
1060_000579,000579,2.3285,7.9249,0.8432,3.6989,1,checkpoint186,adaptive190_MT,checkpoint186,
1061_012584,012584,3.576,3.9699,2.0318,3.1926,1,checkpoint186,gate155_mt,checkpoint186,
1062_007518,007518,3.9945,0.2651,2.2639,2.1745,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1063_012413,012413,1.6412,0.6642,0.5049,0.9368,1,checkpoint186,gate135_mt,checkpoint186,
1064_010771,010771,0.3574,7.359,7.2776,4.998,1,checkpoint186,gate135_mt,checkpoint186,
1065_010648,010648,3.795,1.3396,5.9784,3.7043,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1066_002638,002638,1.4374,1.6177,5.1745,2.7432,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1067_006338,006338,8.8669,1.0746,2.1307,4.0241,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1068_009797,009797,4.2398,0.2995,6.5219,3.6871,1,checkpoint186,gate155_mt,checkpoint186,
1069_011532,011532,1.5771,5.4371,2.6462,3.2201,1,checkpoint186,adaptive190_MT,checkpoint186,
1070_002157,002157,0.9867,1.8716,4.2605,2.3729,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1071_011856,011856,0.1696,3.7063,2.0179,1.9646,1,checkpoint186,gate155_mt,checkpoint186,
1072_004203,004203,1.3012,6.6508,4.0691,4.007,1,checkpoint186,adaptive190_MT,checkpoint186,
1073_000290,000290,3.5476,5.3628,6.0172,4.9759,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1074_010939,010939,2.2034,1.1201,9.5382,4.2872,1,checkpoint186,checkpoint93,checkpoint186,
1075_009175,009175,2.0774,0.8237,7.7168,3.5393,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1076_008368,008368,4.5082,7.3593,1.0357,4.3011,1,checkpoint186,adaptive190_MT,checkpoint186,
1077_002888,002888,3.4075,0.3868,2.6928,2.1624,1,checkpoint186,gate155_mt,checkpoint186,
1078_015686,015686,1.9464,5.5696,4.7442,4.0867,1,checkpoint186,checkpoint93,checkpoint186,
1079_015753,015753,5.2011,0.4589,0.1053,1.9218,1,checkpoint186,checkpoint93,checkpoint186,
1080_013092,013092,9.2928,0.1752,7.9481,5.8054,0,checkpoint186,gate155_mt,checkpoint186,
1081_006439,006439,0.9245,3.2409,10.5401,4.9018,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1082_014064,014064,3.6183,2.9945,0.4118,2.3415,1,checkpoint186,adaptive190_MT,checkpoint186,
1083_005880,005880,1.1092,0.0105,0.3831,0.5009,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1084_002824,002824,1.1054,4.4429,0.0952,1.8812,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1085_000243,000243,1.2358,2.0923,2.481,1.9364,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1086_002286,002286,2.4333,2.8839,0.1695,1.8289,1,checkpoint186,checkpoint93,checkpoint186,
1087_008258,008258,15.909,11.0438,2.8241,9.9256,0,checkpoint186,adaptive190_MT,checkpoint186,
1088_008408,008408,5.2019,3.8339,2.1838,3.7399,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1089_014937,014937,2.026,2.6596,5.8229,3.5028,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1090_015538,015538,3.4588,4.2567,3.4851,3.7335,1,checkpoint186,gate155_mt,checkpoint186,
1091_012796,012796,21.9683,3.623,0.4126,8.668,0,checkpoint186,selector182_MT,checkpoint186,
1092_012308,012308,8.1416,1.5541,3.7053,4.467,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1093_013522,013522,0.2395,1.8741,4.8421,2.3186,1,checkpoint186,gate155_mt,checkpoint186,
1094_015602,015602,1.4448,18.7876,6.8429,9.0251,0,checkpoint186,selector186_old_MT,checkpoint186,
1095_015544,015544,0.4695,1.127,3.3529,1.6498,1,checkpoint186,checkpoint93,checkpoint186,
1096_001258,001258,0.2888,3.317,4.2838,2.6299,1,checkpoint186,checkpoint93,checkpoint186,
1097_015172,015172,3.8501,6.82,4.0952,4.9218,1,checkpoint186,checkpoint93,checkpoint186,
1098_011551,011551,3.0657,4.5056,1.2886,2.9533,1,checkpoint186,adaptive190_MT,checkpoint186,
1099_012564,012564,12.1999,0.6674,0.9006,4.5893,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1100_011176,011176,2.2881,3.4506,5.6171,3.7853,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1101_010185,010185,2.7833,9.1571,9.7985,7.2463,0,checkpoint186,adaptive190_MT,checkpoint186,
1102_005259,005259,0.3591,3.4148,0.889,1.5543,1,checkpoint186,gate155_mt,checkpoint186,
1103_007637,007637,9.9037,2.2845,2.8262,5.0048,0,checkpoint186,checkpoint93,checkpoint186,
1104_007857,007857,0.9203,0.2009,2.7536,1.2916,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1105_004774,004774,3.5357,4.0506,1.8498,3.1454,1,checkpoint186,checkpoint93,checkpoint186,
1106_009352,009352,3.9304,0.0232,2.9762,2.3099,1,checkpoint186,gate155_mt,checkpoint186,
1107_013082,013082,0.3143,0.7218,0.9084,0.6482,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1108_002310,002310,1.6441,7.5967,0.4973,3.246,1,checkpoint186,adaptive190_MT,checkpoint186,
1109_002125,002125,1.1573,4.5792,2.8509,2.8625,1,checkpoint186,adaptive190_MT,checkpoint186,
1110_002695,002695,1.9998,9.9393,3.6444,5.1945,0,checkpoint186,checkpoint93,checkpoint186,
1111_013475,013475,1.7154,3.1112,5.5872,3.4713,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1112_008905,008905,2.4914,0.1873,9.2929,3.9905,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1113_009015,009015,0.0471,1.6703,3.0042,1.5739,1,checkpoint186,checkpoint93,checkpoint186,
1114_005136,005136,7.2568,5.6686,5.2203,6.0486,0,checkpoint186,adaptive190_MT,checkpoint186,
1115_007074,007074,0.584,0.1796,0.3025,0.3554,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1116_003449,003449,3.9137,1.6872,4.317,3.306,1,checkpoint186,checkpoint93,checkpoint186,
1117_008093,008093,4.7754,1.9603,4.1724,3.636,1,checkpoint186,gate155_mt,checkpoint186,
1118_003227,003227,1.8509,1.1615,6.4745,3.1623,1,checkpoint186,gate155_mt,checkpoint186,
1119_007488,007488,0.7887,0.0954,0.921,0.6017,1,checkpoint186,gate155_mt,checkpoint186,
1120_011720,011720,0.1589,5.2294,7.1271,4.1718,1,checkpoint186,adaptive190_MT,checkpoint186,
1121_014460,014460,0.0955,3.0668,6.5037,3.222,1,checkpoint186,gate135_mt,checkpoint186,
1122_005039,005039,9.3609,3.271,4.3975,5.6765,0,checkpoint186,gate135_mt,checkpoint186,
1123_008676,008676,1.3941,1.5974,0.6193,1.2036,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1124_013946,013946,9.7854,2.8698,1.6542,4.7698,1,checkpoint186,gate135_mt,checkpoint186,
1125_003165,003165,0.5257,3.8222,5.8556,3.4012,1,checkpoint186,gate155_mt,checkpoint186,
1126_002167,002167,2.3016,0.0207,5.9376,2.7533,1,checkpoint186,gate135_mt,checkpoint186,
1127_008221,008221,4.2152,2.6153,5.5857,4.1387,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1128_005780,005780,3.1786,5.213,0.1238,2.8385,1,checkpoint186,adaptive190_MT,checkpoint186,
1129_003811,003811,2.7374,3.6786,3.5682,3.3281,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1130_000839,000839,0.5409,6.573,8.4148,5.1762,0,checkpoint186,adaptive190_MT,checkpoint186,
1131_003963,003963,2.903,0.3825,1.3966,1.5607,1,checkpoint186,checkpoint93,checkpoint186,
1132_002389,002389,9.1541,4.0088,5.7519,6.3049,0,checkpoint186,checkpoint93,checkpoint186,
1133_010983,010983,2.072,6.6465,10.1275,6.282,0,checkpoint186,checkpoint93,checkpoint186,
1134_001719,001719,4.5772,5.6888,4.6363,4.9674,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1135_012933,012933,5.2619,0.9987,6.8567,4.3724,1,checkpoint186,checkpoint93,checkpoint186,
1136_014999,014999,6.7707,2.7629,0.1017,3.2118,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1137_012839,012839,1.0979,0.2401,4.5707,1.9696,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1138_005496,005496,0.4722,1.7185,2.2324,1.4744,1,checkpoint186,gate155_mt,checkpoint186,
1139_005568,005568,0.4689,3.9901,1.0759,1.845,1,checkpoint186,checkpoint93,checkpoint186,
1140_012886,012886,2.5255,1.0917,4.7926,2.8033,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1141_006740,006740,9.7458,0.0733,8.239,6.0194,0,checkpoint186,gate155_mt,checkpoint186,
1142_005850,005850,3.0614,6.1419,0.0813,3.0949,1,checkpoint186,adaptive190_MT,checkpoint186,
1143_001970,001970,3.9495,1.8732,5.1976,3.6734,1,checkpoint186,gate155_mt,checkpoint186,
1144_004294,004294,0.0661,1.3186,4.8651,2.0833,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1145_014813,014813,1.6555,2.7035,0.8972,1.7521,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1146_014665,014665,0.4835,0.082,5.7287,2.0981,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1147_009849,009849,3.4419,1.429,9.6791,4.85,1,checkpoint186,gate135_mt,checkpoint186,
1148_002401,002401,13.3136,3.3808,5.1156,7.27,0,checkpoint186,selector168_mt_guard171,checkpoint186,
1149_014530,014530,2.7035,6.1033,6.8504,5.2191,0,checkpoint186,adaptive190_MT,checkpoint186,
1150_002903,002903,1.1741,2.8536,5.7484,3.2587,1,checkpoint186,adaptive190_MT,checkpoint186,
1151_008883,008883,0.6537,2.3457,0.4008,1.1334,1,checkpoint186,gate155_mt,checkpoint186,
1152_004735,004735,15.9362,3.9743,2.9071,7.6059,0,checkpoint186,selector182_MT,checkpoint186,
1153_013449,013449,0.9383,0.137,0.3823,0.4859,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1154_008391,008391,4.2837,0.1853,1.592,2.0203,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1155_009807,009807,0.4306,4.112,6.7539,3.7655,1,checkpoint186,adaptive190_MT,checkpoint186,
1156_010009,010009,0.5888,4.9271,3.8743,3.1301,1,checkpoint186,adaptive190_MT,checkpoint186,
1157_008113,008113,1.0106,6.8776,5.292,4.3934,1,checkpoint186,checkpoint93,checkpoint186,
1158_012246,012246,0.4979,3.9611,2.1442,2.2011,1,pt200,adaptive190_MT,checkpoint186,
1159_005023,005023,4.3782,1.4946,2.7211,2.8646,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1160_006409,006409,0.1645,4.9619,2.6316,2.586,1,checkpoint186,checkpoint93,checkpoint186,
1161_010766,010766,0.6397,3.7663,7.9336,4.1132,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1162_005118,005118,0.0572,1.7669,6.0017,2.6086,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1163_008992,008992,2.7785,5.3585,1.393,3.1767,1,checkpoint186,adaptive190_MT,checkpoint186,
1164_001673,001673,3.2444,0.1216,9.2721,4.2127,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1165_010427,010427,1.4239,6.1067,4.4932,4.0079,1,checkpoint186,adaptive190_MT,checkpoint186,
1166_007953,007953,4.3108,6.5712,7.3012,6.0611,0,checkpoint186,checkpoint93,checkpoint186,
1167_008842,008842,2.423,6.5279,0.9416,3.2975,1,checkpoint186,adaptive190_MT,checkpoint186,
1168_011415,011415,1.7548,0.4898,4.4893,2.2446,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1169_012578,012578,0.7834,2.7135,0.9816,1.4928,1,checkpoint186,gate155_mt,checkpoint186,
1170_014055,014055,0.3076,2.9605,7.8647,3.7109,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1171_014867,014867,0.361,1.8567,0.2954,0.8377,1,checkpoint186,gate155_mt,checkpoint186,
1172_010063,010063,4.6059,1.3597,6.493,4.1529,1,checkpoint186,gate155_mt,checkpoint186,
1173_010221,010221,0.5416,0.2875,3.7681,1.5324,1,checkpoint186,gate155_mt,checkpoint186,
1174_013592,013592,0.0195,1.2929,4.2712,1.8612,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1175_006675,006675,2.5668,0.2608,0.0449,0.9575,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1176_001846,001846,3.2185,1.555,9.1194,4.631,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1177_005506,005506,0.1871,3.0573,6.1952,3.1465,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1178_009980,009980,6.7229,7.7,3.9886,6.1372,0,checkpoint186,adaptive190_MT,checkpoint186,
1179_006950,006950,2.765,6.1168,7.7015,5.5278,0,checkpoint186,adaptive190_MT,checkpoint186,
1180_011984,011984,2.409,0.9302,3.1299,2.1564,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1181_001509,001509,2.053,6.3936,5.704,4.7169,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1182_003698,003698,4.6338,12.798,3.224,6.8853,0,checkpoint186,adaptive190_MT,checkpoint186,
1183_013392,013392,2.8261,0.4171,1.9744,1.7392,1,checkpoint186,checkpoint93,checkpoint186,
1184_014537,014537,1.0773,1.1621,1.8895,1.3763,1,checkpoint186,gate135_mt,checkpoint186,
1185_005293,005293,2.3288,0.7732,0.0036,1.0352,1,checkpoint186,gate155_mt,checkpoint186,
